epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2804.81,1.06329,0.82775,1.04791,0.85649,0.70681,0.80251,0.5985,0.92488,0.77304,1.0084,0.0011882,0.0011882,0.0011882
43,2870.25,1.05536,0.82015,1.05775,0.86178,0.71038,0.80159,0.59392,0.95094,0.75753,1.01509,0.0011684,0.0011684,0.0011684
44,2936.08,1.06734,0.81488,1.05419,0.88394,0.6985,0.80243,0.60165,0.9235,0.74789,1.00027,0.0011486,0.0011486,0.0011486
45,3001.19,1.05647,0.79428,1.04995,0.86183,0.70635,0.80277,0.59551,0.95321,0.76776,1.00676,0.0011288,0.0011288,0.0011288
46,3066.86,1.04864,0.79369,1.03705,0.86769,0.69616,0.79795,0.59544,0.94526,0.76996,1.00324,0.001109,0.001109,0.001109
47,3132.35,1.04366,0.79597,1.04271,0.87987,0.69887,0.80453,0.59733,0.93908,0.74069,0.99779,0.0010892,0.0010892,0.0010892
48,3197.26,1.05435,0.78896,1.04553,0.89663,0.68297,0.80085,0.60313,0.93452,0.75183,1.00611,0.0010694,0.0010694,0.0010694
49,3262.74,1.04277,0.7754,1.03741,0.88167,0.70449,0.81108,0.60921,0.92888,0.73975,0.99631,0.0010496,0.0010496,0.0010496
50,3327.72,1.03809,0.7718,1.03969,0.87646,0.70079,0.80531,0.60637,0.92454,0.73904,1.00367,0.0010298,0.0010298,0.0010298
51,3393.66,1.02193,0.76016,1.02763,0.85491,0.71775,0.80187,0.60595,0.91642,0.72547,0.99331,0.00101,0.00101,0.00101
52,3459.5,1.02392,0.76461,1.03359,0.87301,0.71005,0.8039,0.60599,0.92224,0.75026,1.00411,0.0009902,0.0009902,0.0009902
53,3525.22,1.02559,0.76103,1.03588,0.87653,0.71422,0.80575,0.60766,0.92664,0.73452,1.00218,0.0009704,0.0009704,0.0009704
54,3590.94,1.01117,0.7405,1.02817,0.87512,0.71422,0.81274,0.61948,0.9019,0.71059,0.99587,0.0009506,0.0009506,0.0009506
55,3656.66,1.01206,0.73288,1.02561,0.88776,0.71885,0.81308,0.61305,0.92083,0.71423,0.99505,0.0009308,0.0009308,0.0009308
56,3722.46,1.0153,0.73778,1.03316,0.89091,0.71495,0.81831,0.61431,0.90788,0.70935,0.98964,0.000911,0.000911,0.000911
57,3787.86,0.99189,0.72146,1.01442,0.8728,0.72441,0.81904,0.61972,0.89484,0.70314,0.98479,0.0008912,0.0008912,0.0008912
58,3852.9,1.0026,0.73135,1.0313,0.87185,0.71283,0.81449,0.61925,0.89277,0.70259,0.98444,0.0008714,0.0008714,0.0008714
59,3918.16,0.99066,0.71626,1.01335,0.87867,0.73125,0.81993,0.62352,0.89495,0.69903,0.97979,0.0008516,0.0008516,0.0008516
60,3983.88,0.98256,0.7156,1.01416,0.88827,0.72117,0.82075,0.62246,0.89337,0.69592,0.98026,0.0008318,0.0008318,0.0008318
61,4049.15,0.98182,0.72708,1.01017,0.88653,0.72735,0.81923,0.62246,0.89397,0.68448,0.98642,0.000812,0.000812,0.000812
62,4114.56,0.98655,0.71309,1.00997,0.87925,0.72853,0.81733,0.6177,0.89546,0.70531,0.98192,0.0007922,0.0007922,0.0007922
63,4180.11,0.9854,0.71472,1.00966,0.88192,0.73367,0.82172,0.62664,0.88059,0.6799,0.98091,0.0007724,0.0007724,0.0007724
64,4245.66,0.98043,0.7078,1.01093,0.88183,0.72997,0.82135,0.62445,0.88638,0.68509,0.98089,0.0007526,0.0007526,0.0007526
65,4311.02,0.97008,0.69835,1.0029,0.89519,0.72256,0.83105,0.63472,0.87244,0.66594,0.97276,0.0007328,0.0007328,0.0007328
66,4376.55,0.976,0.70404,1.01489,0.88168,0.72826,0.82663,0.62651,0.89089,0.69016,0.97865,0.000713,0.000713,0.000713
67,4442.5,0.99074,0.71165,1.01445,0.89369,0.72117,0.82295,0.62622,0.87894,0.68637,0.97666,0.0006932,0.0006932,0.0006932
68,4507.5,0.96355,0.68847,1.00043,0.88976,0.7295,0.82739,0.62446,0.89248,0.67294,0.98127,0.0006734,0.0006734,0.0006734
69,4573.17,0.94926,0.66738,0.99053,0.89636,0.72302,0.82896,0.62974,0.8827,0.67768,0.97376,0.0006536,0.0006536,0.0006536
70,4638.99,0.96275,0.69867,1.00368,0.8959,0.72152,0.82878,0.63792,0.86356,0.66671,0.96291,0.0006338,0.0006338,0.0006338
71,4705.21,0.95823,0.67284,0.99693,0.88725,0.73136,0.82946,0.63509,0.87652,0.67267,0.97068,0.000614,0.000614,0.000614
72,4771.32,0.95963,0.67986,0.99729,0.89743,0.72949,0.83074,0.63858,0.87105,0.67024,0.97096,0.0005942,0.0005942,0.0005942
73,4836.85,0.9509,0.67327,0.99796,0.8984,0.72395,0.827,0.63636,0.87021,0.65981,0.97414,0.0005744,0.0005744,0.0005744
74,4902.05,0.93599,0.65746,0.99447,0.89021,0.73988,0.83222,0.63851,0.87323,0.65967,0.97037,0.0005546,0.0005546,0.0005546
75,4967.05,0.93953,0.66092,1.00084,0.88857,0.73133,0.82756,0.63465,0.87578,0.66411,0.97069,0.0005348,0.0005348,0.0005348
76,5032.18,0.9285,0.65134,0.9903,0.90693,0.72719,0.83203,0.64021,0.8633,0.66187,0.9632,0.000515,0.000515,0.000515
77,5097.91,0.94755,0.65743,0.99395,0.89104,0.73923,0.83156,0.64195,0.85779,0.64748,0.9648,0.0004952,0.0004952,0.0004952
78,5163.15,0.95133,0.65333,0.99327,0.90474,0.72209,0.82611,0.6379,0.86625,0.65798,0.96829,0.0004754,0.0004754,0.0004754
79,5228.18,0.91536,0.64478,0.98714,0.89605,0.74264,0.83744,0.64914,0.84869,0.64336,0.96013,0.0004556,0.0004556,0.0004556
80,5293.93,0.92565,0.64981,0.98503,0.89441,0.73364,0.83307,0.64289,0.86046,0.63989,0.96534,0.0004358,0.0004358,0.0004358
81,5358.93,0.91643,0.637,0.97909,0.90808,0.73321,0.83246,0.64463,0.854,0.64184,0.96252,0.000416,0.000416,0.000416
82,5424.5,0.91215,0.62875,0.98571,0.9011,0.73506,0.83316,0.64545,0.84609,0.64338,0.95874,0.0003962,0.0003962,0.0003962
83,5490.23,0.92397,0.63897,0.98548,0.89475,0.73043,0.83589,0.64897,0.84535,0.65858,0.95728,0.0003764,0.0003764,0.0003764
84,5556.07,0.91636,0.62265,0.97711,0.90672,0.73367,0.83287,0.6465,0.84278,0.63768,0.95836,0.0003566,0.0003566,0.0003566
85,5621.7,0.91328,0.62809,0.97882,0.88913,0.74293,0.837,0.64585,0.84518,0.64001,0.95779,0.0003368,0.0003368,0.0003368
86,5687.31,0.89316,0.60919,0.97269,0.89841,0.7383,0.841,0.65047,0.84349,0.63121,0.95803,0.000317,0.000317,0.000317
87,5752.95,0.89962,0.61992,0.97638,0.91002,0.72811,0.83965,0.6513,0.84535,0.63064,0.96024,0.0002972,0.0002972,0.0002972
88,5818.54,0.89196,0.59971,0.97722,0.89875,0.74417,0.83917,0.64949,0.84577,0.63174,0.95853,0.0002774,0.0002774,0.0002774
